"","x"
"678","3411291"
"679","3415372"
"680","3419157"
"681","3417549"
"682","3417695"
"683","3419793"
"684","3509277"
"685","3509277"
"686","15528599"
"687","43284130"
"688","15525492"
"689","15525492"
"690","15525492"
"691","70000137"
"692","70000137"
"693","3377524"
"694","3377729"
"695","15533251"
"696","98563358"
"697","3376843"
"698","3376843"
"699","43286705"
"700","3377329"
"701","3377329"
